"comments","less-button","more-button","hidden","comment","hidden 2","yt-core-attributed-string 2","yt-core-attributed-string 3"
"how about putting the constitution in classrooms?","Show less","Read more","Like","161","Dislike","Reply","12 replies"
"Considering the behavior and moral (?) actions of some prominent politicians I suspect they really don’t follow their own philosophy.","Show less","Read more","Like","30","Dislike","Reply",""
"Seems pretty clear cut. If schools are government funded = keep your religion at home","Show less","Read more","Like","47","Dislike","Reply","16 replies"
"Isn't one of the foundations of the USA freedom of religion.","Show less","Read more","Like","28","Dislike","Reply","7 replies"
"Teaching values doesn’t require religious scripture on the wall. Respect, empathy, and honesty can be taught without crossing the church-state line.","Show less","Read more","Like","82","Dislike","Reply","24 replies"
"If having the 10 commandments on the wall actually worked, we would need to post it in every room in the white house.","Show less","Read more","Like","15","Dislike","Reply",""
"Seriously, what Republicans follow the Ten Commandments?","Show less","Read more","Like","83","Dislike","Reply","22 replies"
"A chance to spot how many commandments republicans have broken  break.","Show less","Read more","Like","13","Dislike","Reply","1 reply"
"Nothing religious should be imposed in any school, neither anything contrary to it…. children go to school to learn the way this society is ruled so that they stand out better economically than those who don’t, period.","Show less","Read more","Like","13","Dislike","Reply",""
"Isn’t Paxton the same guy who cheated on his wife with a mistress and almost got removed from office in part because of that affair? I am pretty sure “Thou shalt not commit adultery” is a Ten Commandments.","Show less","Read more","Like","3","Dislike","Reply",""
"I am so proud of this decision. I wholeheartedly believe that this is the accurate interpretation of the constitution!","Show less","Read more","Like","2","Dislike","Reply","3 replies"
"A schoolchild could tell you this outcome, the Constitution is fairly clear about this. Waste of time and resources","Show less","Read more","Like","4","Dislike","Reply",""
"How about we start something better. Christians that actually follow the Bible. Wouldn't that make America great again","Show less","Read more","Like","52","Dislike","Reply","4 replies"
"Like you Paxton? Hypocrite ️","Show less","Read more","Like","2","Dislike","Reply",""
"Doesn’t matter if they post the Ten Commandments or not. The students will ignore them. Did when I went to school.","Show less","Read more","Like","14","Dislike","Reply","3 replies"
"Separation of church and state…","Show less","Read more","Like","15","Dislike","Reply","3 replies"
"1.  Do not worship Donald Trump.
2.  Don’t worship his image. 
3.  Do not wield religion like a weapon.
4.  Let people rest without calling them lazy
5.  Don’t put your parents in a nursing home
6.  Do not contribute to death. Create and honor policy that allows the most people to live the longest, happiest lives.
7.  Keep it in your pants
8.  Create a society where needs are met and theft is unnecessary.
9.  Don’t call people seeking asylum “illegal.” That is bearing false witness against your neighbor. 
10. Even though Trump and Musk lead you into temptation, do not covet material things or the belongings of shallow men. Remember God’s command to be your brother’s keeper.","Show less","Read more","Like","7","Dislike","Reply",""
"What's wrong with Texas.","Show less","Read more","Like","2","Dislike","Reply","1 reply"
"Very sensible. Good job!","Show less","Read more","Like","4","Dislike","Reply",""
"Surprised trump didn’t block this, he has literally broken every Commandment except for Honor Thy Father and Mother.","Show less","Read more","Like","1","Dislike","Reply",""
"If having the 10 commandments on the wall actually worked, we would need to post it in every room in the white house.","Show less","Read more","Like","15","Dislike","Reply",""
"Seriously, what Republicans follow the Ten Commandments?","Show less","Read more","Like","83","Dislike","Reply","22 replies"
"A chance to spot how many commandments republicans have broken  break.","Show less","Read more","Like","13","Dislike","Reply","1 reply"
"Nothing religious should be imposed in any school, neither anything contrary to it…. children go to school to learn the way this society is ruled so that they stand out better economically than those who don’t, period.","Show less","Read more","Like","13","Dislike","Reply",""
"Isn’t Paxton the same guy who cheated on his wife with a mistress and almost got removed from office in part because of that affair? I am pretty sure “Thou shalt not commit adultery” is a Ten Commandments.","Show less","Read more","Like","3","Dislike","Reply",""
"I am so proud of this decision. I wholeheartedly believe that this is the accurate interpretation of the constitution!","Show less","Read more","Like","2","Dislike","Reply","3 replies"
"A schoolchild could tell you this outcome, the Constitution is fairly clear about this. Waste of time and resources","Show less","Read more","Like","4","Dislike","Reply",""
"How about we start something better. Christians that actually follow the Bible. Wouldn't that make America great again","Show less","Read more","Like","52","Dislike","Reply","4 replies"
"Like you Paxton? Hypocrite ️","Show less","Read more","Like","2","Dislike","Reply",""
"Doesn’t matter if they post the Ten Commandments or not. The students will ignore them. Did when I went to school.","Show less","Read more","Like","14","Dislike","Reply","3 replies"
"Separation of church and state…","Show less","Read more","Like","15","Dislike","Reply","3 replies"
"1.  Do not worship Donald Trump.
2.  Don’t worship his image. 
3.  Do not wield religion like a weapon.
4.  Let people rest without calling them lazy
5.  Don’t put your parents in a nursing home
6.  Do not contribute to death. Create and honor policy that allows the most people to live the longest, happiest lives.
7.  Keep it in your pants
8.  Create a society where needs are met and theft is unnecessary.
9.  Don’t call people seeking asylum “illegal.” That is bearing false witness against your neighbor. 
10. Even though Trump and Musk lead you into temptation, do not covet material things or the belongings of shallow men. Remember God’s command to be your brother’s keeper.","Show less","Read more","Like","7","Dislike","Reply",""
"What's wrong with Texas.","Show less","Read more","Like","2","Dislike","Reply","1 reply"
"Very sensible. Good job!","Show less","Read more","Like","4","Dislike","Reply",""
"Surprised trump didn’t block this, he has literally broken every Commandment except for Honor Thy Father and Mother.","Show less","Read more","Like","1","Dislike","Reply",""
"The thing is that Abbot has broken most of those Ten Commandments, I do hope that he has them plastered all over his homes walls, the nasty tick.","Show less","Read more","Like","7","Dislike","Reply",""
"Religious freedom goes back ways guys.","Show less","Read more","Like","1","Dislike","Reply",""
"Good. We need education not church in the class room","Show less","Read more","Like","3","Dislike","Reply",""
"Seperation of chruch and state.  This is insane. Everyday a step backward.","Show less","Read more","Like","1","Dislike","Reply",""
"whole bill is stupid","Show less","Read more","Like","1","Dislike","Reply",""
"It’s about time, that was disgustingly close.","Show less","Read more","Like","9","Dislike","Reply",""
"If they’re not written on your heart, no wall matters. If they are, they are already ubiquitous. The word of God cannot be confined  to a wall or closed doors.","Show less","Read more","Like","1","Dislike","Reply",""
"Of Texas","Show less","Read more","Like","","Dislike","Reply",""
"SMH!!!! Why would they want that in public classrooms????","Show less","Read more","Like","","Dislike","Reply",""
"Sickening","Show less","Read more","Like","","Dislike","Reply",""
"How about leading the children by  examples of TRUE Christian behavior?  
If you HYPOCRITES want to teach good morals, start revisiting the scriptures at YOUR own homes.","Show less","Read more","Like","2","Dislike","Reply",""
"This has been through the courts. It doesn't take much brain power to understand. Religion is not a governmental matter.","Show less","Read more","Like","4","Dislike","Reply",""
"Pulled my kids from public school in November.","Show less","Read more","Like","10","Dislike","Reply","4 replies"
"Wow. We didn't see this coming..........","Show less","Read more","Like","","Dislike","Reply",""
"The GOP break their own commandments everyday️","Show less","Read more","Like","1","Dislike","Reply",""
"Public schools people.","Show less","Read more","Like","","Dislike","Reply",""
"Welcome to the next episode of Handmaid's Tale, an American tragedy.","Show less","Read more","Like","1","Dislike","Reply",""
"Thank god","Show less","Read more","Like","","Dislike","Reply",""
"Excellent","Show less","Read more","Like","","Dislike","Reply",""
"Church v. State","Show less","Read more","Like","","Dislike","Reply",""
"Of Texas","Show less","Read more","Like","","Dislike","Reply",""
"SMH!!!! Why would they want that in public classrooms????","Show less","Read more","Like","","Dislike","Reply",""
"Sickening","Show less","Read more","Like","","Dislike","Reply",""
"How about leading the children by  examples of TRUE Christian behavior?  
If you HYPOCRITES want to teach good morals, start revisiting the scriptures at YOUR own homes.","Show less","Read more","Like","2","Dislike","Reply",""
"This has been through the courts. It doesn't take much brain power to understand. Religion is not a governmental matter.","Show less","Read more","Like","4","Dislike","Reply",""
"Pulled my kids from public school in November.","Show less","Read more","Like","10","Dislike","Reply","4 replies"
"Wow. We didn't see this coming..........","Show less","Read more","Like","","Dislike","Reply",""
"The GOP break their own commandments everyday️","Show less","Read more","Like","1","Dislike","Reply",""
"Public schools people.","Show less","Read more","Like","","Dislike","Reply",""
"Welcome to the next episode of Handmaid's Tale, an American tragedy.","Show less","Read more","Like","1","Dislike","Reply",""
"Thank god","Show less","Read more","Like","","Dislike","Reply",""
"Excellent","Show less","Read more","Like","","Dislike","Reply",""
"Church v. State","Show less","Read more","Like","","Dislike","Reply",""
"The fact Texans are voting in these officials , says a lot about the people","Show less","Read more","Like","6","Dislike","Reply",""
"Great!!! Thanks to this Judge for upholding the constitution the 1 amendment is clear.","Show less","Read more","Like","","Dislike","Reply",""
"Shouldn’t be necessary to ask why.
It’s called the Constitution. The separation of church and state. The government is prohibited from endorsing or requiring any specific religion.","Show less","Read more","Like","","Dislike","Reply",""
"Why would we push on belief on all children? I thought we were built to have religious freedom? And it seemed pretty clear that government has no place in enforcing religion on anyone. I'm not saying you shouldn't teach children about religion. But If you're going to teach and bring up one religion you really need to bring them all up. Or come up with a type of commandments that are just about school and common American rules rules. Why does it have to be something written in the Bible? 

Always respect the adults and teachers and adults around you. 

I will never place my hands on other people. 

I will always clean up after myself. 

I won't ever steal. 

School is no place for lying so I will not lie. 

Etc etc.. 

I am absolutely four freedom of religion. We are already slowly losing a lot of freedoms. Granted I am Christian and I want my children to know about things like this but I do not want them to be forced to follow a religion period. Religion should be something taught at home or on free time. Not in government run classrooms.","Show less","Read more","Like","1","Dislike","Reply","1 reply"
"Church and state are separate BUT the words should be in classrooms to be an example of proper behavior. Democrats think criminals are MORE important than lawful citizens. This tells you everything about CONTROLLERS.","Show less","Read more","Like","","Dislike","Reply",""
"A better idea is to show the Universal Declaration of Human Rights, that is not contraversial at all. An alternative is the USA constitution but it shows it's age.","Show less","Read more","Like","","Dislike","Reply",""
"It can help. To ones belief an how their raised.  Even just to look at .","Show less","Read more","Like","","Dislike","Reply",""
"They want to put the ten commandments in school but don't want to teach AMERICAN  history which includes slavery, jim criw etc.....smh.....","Show less","Read more","Like","","Dislike","Reply",""
"Someone did this on purpose. To use this as precedent later on.","Show less","Read more","Like","","Dislike","Reply",""
"W Texas - there might actually be some hope","Show less","Read more","Like","2","Dislike","Reply",""
"To remind people of how badly Israel has broken the covenant???","Show less","Read more","Like","","Dislike","Reply",""
"But parents would rather have their kids in the street listening to king von and playing with switches","Show less","Read more","Like","","Dislike","Reply",""
"The Ten Commandments  is a gift from God for mankind . Not a political tool. Jesus said don’t mix politics and religion together. It end in disaster. The Ten Commandments belongs in Churches and Homes where parents can teach  their children about Christian faith. Not the schools. Do you  the state explains religious beliefs?","Show less","Read more","Like","","Dislike","Reply",""
"Rules for thee, but not for me. Another case of those in power trying to get us to follow rules they themselves dont follow.","Show less","Read more","Like","","Dislike","Reply",""
"Anyone who thinks teaching kids about morality is a bad idea should have zero input on raising children!","Show less","Read more","Like","1","Dislike","Reply","1 reply"
"Believers are saved by grace through faith in Jesus Christ, not the Ten Commandments. 
John 3:16 
Romans 10:9-10","Show less","Read more","Like","","Dislike","Reply",""
